Course,Description,Prerequisites,Median Grade,Student Review
EECS 183,"Fundamental concepts and skills of programming in a high-level language. Flow of control: selection, iteration, subprograms. Data structures: strings, arrays, records, lists, tables. Algorithms using selection and iteration (decision making, finding maxima/minima, searching, sorting, simulation, etc.) Good program design, structure and style are emphasized. Testing and debugging. Not intended for Engineering students (who should take ENGR 101), nor for CS majors in LSA who qualify to enter EECS 280.",None,A-,"Sorry, we do not have a student review for this class yet."
EECS 203,"Introduction to the mathematical foundations of computer science. Topics covered include: propositional and predicate logic, set theory, function and relations, growth of functions and asymptotic notation, introduction to algorithms, elementary combinatorics and graph theory and discrete probability theory.",MATH 115 or 116 or 119 or 120 or 121 or 156 or 175 or 176 or 185 or 186 or 214 or 215 or 216 or 217 or 255 or 256 or 285 or 286 or 295 or 296 or 417 or 419,B,This class is more theory based and does not do any coding. I took it with EECS280 and it paired nicely. 
EECS 280,"Algorithm development and effective programming, top-down analysis, structured programming, testing and program correctness. Program language syntax and static and runtime semantics. Scope, procedure instantiation, recursion, abstract data types and parameter passing methods. Structured data types, pointers, linked data structures, stacks, queues, arrays, records and trees",ENGR 101 or ENGR 151 or EECS 180 or EECS 183,B+,280 is a step above 183 or 101/151. I enjoyed working in pairs for the coding projects and it�s a medium workload (start projects early.)
EECS 281,"Introduction to algorithm analysis and O-notation; Fundamental data structures including lists, stacks, queues, priority queues, hash tables, binary trees, search trees, balanced trees and graphs; searching and sorting algorithms; recursive algorithms; basic graph algorithms; introduction to greedy algorithms and divide and conquer strategy. Several programming assignments.",(EECS 203 or Math 465 or Math 565) and EECS 280,B,"This class will definitely consume a lot of your time, but you'll gain way more skills than you have in all previous eecs classes combined."
EECS 285,"Introduction to Java programming, including language features, design principles, and programming practices. Topics include: Java syntax and semantics, object-oriented design, exception handling, graphical user interfaces, mobile-application development, asynchronous programming, and unit testing.",EECS 280,A,"Sorry, we do not have a student review for this class yet."
EECS 370,"Basic concepts of computer organization and hardware. Instructions executed by a processor and how to use these instructions in simple assembly-language programs. Stored-program concept. Datapath and control for multiple implementations of a processor. Performance evaluation, pipelining, caches, virtual memory, input/output.",(EECS 203 or Math 465 or Math 565 or EECS 270) and EECS 280,B,More interesting for people who care about hardware. I'd say its about a 280 workload but less interesting if you ask me.
EECS 373,"Principles of designing application-specific computer systems that interact with the physical world. Covers memory-mapped I/O, interrupts, analog interfacing, microprocessors, reconfigurable hardware, sensors, and actuators. Complex hardware/software system design and implementation. Substantial student-defined team design project.",EECS 270 and EECS 370 and junior standing or higher,B+,"Sorry, we do not have a student review for this class yet."
EECS 376,"Introduction to theory of computation.  Models of computation: finite state machines, Turing machines.  Decidable and undecidable problems.  Polynomial time computability and paradigms of algorithm design.  computational complexity emphasizing NP-hardness.  Coping with intractability.  Exploiting intractability:  cryptography.",EECS 280 and (EECS 203 or Math 465 or Math 565),B,"Sorry, we do not have a student review for this class yet."
EECS 381,"Programming techniques in Standard C++ for large-scale, complex, or high-performance software. Encapsulation, automatic memory management, exceptions, generic programming with templates and function objects, Standard Library algorithms and containers.  Using single and multiple inheritance and polymorphism for code reuse and extensibility; basic design idioms, patterns, and notation.",EECS 281 and EECS 370,B-,"Sorry, we do not have a student review for this class yet."
EECS 388,"This course introduces the principles and practices of computer security as applied to software, host systems, and networks. It covers the foundations of building, using and managing secure systems. Topics include standard cryptographic functions and protocols, threats and defenses for real-world systems, incident response and computer forensics. There will be homework exercises, programming projects and a final exam.",Enforced: EECS 281. Advisory: EECS 370.,B+,Gives some useful info about security but the class is usually run poorly. Also more work than it was a couple years back.
